Secondary Subject,Level,Ethnicity,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Agricultural and Horticultural Science,Level 2,Pacific Peoples,2022,48,174,0.02,21,0.004,313,0.473,0.403,0.064,0.061,148,126,20,19,
Agricultural and Horticultural Science,Level 2,Pacific Peoples,2023,47,207,0.022,41,0.007,410,0.339,0.427,0.141,0.093,139,175,58,38,
Agricultural and Horticultural Science,Level 2,Pacific Peoples,2024,45,195,0.017,35,0.005,366,0.336,0.481,0.117,0.066,123,176,43,24,
Agricultural and Horticultural Science,Level 3,Asian,2015,15,28,0.004,13,0.002,69,0.188,0.507,0.217,0.087,13,35,15,6,
Agricultural and Horticultural Science,Level 3,Asian,2016,17,27,0.003,12,0.002,65,0.246,0.492,0.2,0.062,16,32,13,4,
Agricultural and Horticultural Science,Level 3,Asian,2017,20,38,0.004,17,0.002,85,0.153,0.388,0.259,0.2,13,33,22,17,
Agricultural and Horticultural Science,Level 3,Asian,2018,24,46,0.005,15,0.002,90,0.2,0.467,0.189,0.144,18,42,17,13,
Agricultural and Horticultural Science,Level 3,Asian,2019,23,51,0.005,16,0.002,99,0.192,0.485,0.212,0.111,19,48,21,11,
Agricultural and Horticultural Science,Level 3,Asian,2020,20,40,0.004,14,0.002,87,0.161,0.425,0.31,0.103,14,37,27,9,
Agricultural and Horticultural Science,Level 3,Asian,2021,15,31,0.003,12,0.001,66,0.242,0.379,0.288,0.091,16,25,19,6,
Agricultural and Horticultural Science,Level 3,Asian,2022,22,31,0.003,10,0.001,69,0.232,0.406,0.217,0.145,16,28,15,10,
Agricultural and Horticultural Science,Level 3,Asian,2023,22,33,0.003,19,0.002,86,0.186,0.419,0.279,0.116,16,36,24,10,
Agricultural and Horticultural Science,Level 3,Asian,2024,24,45,0.004,19,0.002,110,0.336,0.309,0.164,0.191,37,34,18,21,
Agricultural and Horticultural Science,Level 3,European,2015,62,606,0.019,439,0.017,1931,0.253,0.381,0.204,0.163,489,735,393,314,
Agricultural and Horticultural Science,Level 3,European,2016,82,700,0.022,470,0.019,2103,0.223,0.37,0.241,0.166,469,778,507,349,
Agricultural and Horticultural Science,Level 3,European,2017,68,684,0.021,477,0.019,2085,0.197,0.351,0.251,0.201,410,732,524,419,
Agricultural and Horticultural Science,Level 3,European,2018,71,706,0.022,381,0.015,1781,0.209,0.35,0.227,0.214,372,623,404,382,
Agricultural and Horticultural Science,Level 3,European,2019,75,808,0.024,443,0.018,2061,0.196,0.353,0.246,0.205,404,727,507,423,
Agricultural and Horticultural Science,Level 3,European,2020,70,794,0.024,395,0.016,1913,0.196,0.33,0.247,0.227,374,632,473,434,
Agricultural and Horticultural Science,Level 3,European,2021,81,889,0.026,514,0.021,2329,0.16,0.344,0.25,0.246,373,801,582,573,
Agricultural and Horticultural Science,Level 3,European,2022,79,840,0.026,462,0.02,2161,0.192,0.365,0.235,0.209,415,788,507,451,
Agricultural and Horticultural Science,Level 3,European,2023,84,911,0.028,553,0.023,2426,0.198,0.374,0.234,0.194,480,907,568,471,
Agricultural and Horticultural Science,Level 3,European,2024,91,841,0.024,518,0.02,2346,0.208,0.364,0.228,0.2,489,854,534,469,
Agricultural and Horticultural Science,Level 3,M?ori,2015,40,90,0.01,37,0.006,217,0.359,0.373,0.207,0.06,78,81,45,13,
Agricultural and Horticultural Science,Level 3,M?ori,2016,44,94,0.01,34,0.006,214,0.336,0.407,0.182,0.075,72,87,39,16,
Agricultural and Horticultural Science,Level 3,M?ori,2017,46,102,0.01,40,0.006,234,0.372,0.355,0.15,0.124,87,83,35,29,
Agricultural and Horticultural Science,Level 3,M?ori,2018,44,104,0.011,31,0.005,203,0.355,0.369,0.167,0.108,72,75,34,22,
Agricultural and Horticultural Science,Level 3,M?ori,2019,47,107,0.011,33,0.005,221,0.29,0.394,0.199,0.118,64,87,44,26,
Agricultural and Horticultural Science,Level 3,M?ori,2020,37,93,0.009,22,0.004,177,0.412,0.35,0.198,0.04,73,62,35,7,
Agricultural and Horticultural Science,Level 3,M?ori,2021,54,142,0.014,50,0.008,296,0.294,0.419,0.169,0.118,87,124,50,35,
Agricultural and Horticultural Science,Level 3,M?ori,2022,42,95,0.009,41,0.007,220,0.295,0.341,0.205,0.159,65,75,45,35,
Agricultural and Horticultural Science,Level 3,M?ori,2023,49,109,0.011,38,0.006,240,0.288,0.442,0.179,0.092,69,106,43,22,
Agricultural and Horticultural Science,Level 3,M?ori,2024,50,145,0.013,60,0.009,347,0.334,0.38,0.161,0.124,116,132,56,43,
Agricultural and Horticultural Science,Level 3,Middle Eastern/Latin American/African,2015,5,5,0.005,3,0.004,12,0.167,0.5,0,0.333,2,6,0,4,Small Cohort
Agricultural and Horticultural Science,Level 3,Middle Eastern/Latin American/African,2016,5,6,0.006,1,0.001,8,0.5,0.375,0.125,0,4,3,1,0,Small Cohort
Agricultural and Horticultural Science,Level 3,Middle Eastern/Latin American/African,2017,6,9,0.008,1,0.001,18,0.556,0.278,0.111,0.056,10,5,2,1,Small Cohort
Agricultural and Horticultural Science,Level 3,Middle Eastern/Latin American/African,2018,8,11,0.01,2,0.002,19,0.368,0.474,0.105,0.053,7,9,2,1,Small Cohort
Agricultural and Horticultural Science,Level 3,Middle Eastern/Latin American/African,2019,11,15,0.013,5,0.006,30,0.1,0.5,0.233,0.167,3,15,7,5,
