"Year Level","Qualification","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"12","University Entrance","2023","0","0.005","0.005","313","297","60074",""
"12","University Entrance","2024","0","0.005","0.005","296","286","63435",""
"13","NCEA Level 2","2015","0","0.872","0.076","42635","3699","48885",""
"13","NCEA Level 2","2016","0","0.877","0.072","42352","3480","48306",""
"13","NCEA Level 2","2017","0","0.889","0.063","43594","3074","49052",""
"13","NCEA Level 2","2018","0","0.89","0.061","42490","2927","47747",""
"13","NCEA Level 2","2019","0","0.891","0.066","41268","3038","46304",""
"13","NCEA Level 2","2020","0","0.892","0.071","41583","3300","46598",""
"13","NCEA Level 2","2021","0","0.889","0.05","42793","2424","48158",""
"13","NCEA Level 2","2022","0","0.877","0.049","41054","2292","46803",""
"13","NCEA Level 2","2023","0","0.868","0.061","40340","2814","46450",""
"13","NCEA Level 2","2024","0","0.857","0.08","43029","4027","50225",""
"13","NCEA Level 3","2015","1","0.626","0.604","30596","29533","48885",""
"13","NCEA Level 3","2016","1","0.642","0.616","30991","29771","48306",""
"13","NCEA Level 3","2017","1","0.655","0.634","32131","31082","49052",""
"13","NCEA Level 3","2018","1","0.661","0.644","31545","30761","47747",""
"13","NCEA Level 3","2019","1","0.673","0.655","31165","30315","46304",""
"13","NCEA Level 3","2020","1","0.721","0.703","33597","32737","46598",""
"13","NCEA Level 3","2021","1","0.705","0.682","33961","32864","48158",""
"13","NCEA Level 3","2022","1","0.682","0.659","31910","30846","46803",""
"13","NCEA Level 3","2023","1","0.677","0.653","31446","30313","46450",""
"13","NCEA Level 3","2024","1","0.694","0.671","34862","33713","50225",""
"13","University Entrance","2015","1","0.481","0.47","23510","22988","48885",""
"13","University Entrance","2016","1","0.488","0.472","23560","22821","48306",""
"13","University Entrance","2017","1","0.489","0.475","23992","23301","49052",""
"13","University Entrance","2018","1","0.489","0.48","23341","22929","47747",""
"13","University Entrance","2019","1","0.493","0.483","22832","22387","46304",""
"13","University Entrance","2020","1","0.534","0.525","24901","24466","46598",""
"13","University Entrance","2021","1","0.519","0.507","24982","24434","48158",""
"13","University Entrance","2022","1","0.503","0.493","23554","23062","46803",""
"13","University Entrance","2023","1","0.497","0.488","23084","22662","46450",""
"13","University Entrance","2024","1","0.506","0.495","25391","24868","50225",""
