Secondary Subject,Level,Gender,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Business Studies,Level 3,Male,2024,205,3714,0.133,2736,0.14,9245,0.203,0.394,0.238,0.165,1878,3638,2201,1528,
Chemistry,Level 1,Female,2015,298,14770,0.405,154,0.005,18033,0.118,0.323,0.295,0.264,2123,5820,5325,4765,
Chemistry,Level 1,Female,2016,308,15328,0.427,55,0.002,18470,0.11,0.311,0.312,0.267,2033,5740,5761,4936,
Chemistry,Level 1,Female,2017,314,15893,0.451,58,0.002,18761,0.112,0.312,0.305,0.271,2096,5854,5725,5086,
Chemistry,Level 1,Female,2018,311,15199,0.444,41,0.001,17579,0.112,0.318,0.308,0.262,1968,5592,5413,4606,
Chemistry,Level 1,Female,2019,310,15256,0.367,37,0.001,17183,0.093,0.324,0.308,0.275,1594,5569,5289,4731,
Chemistry,Level 1,Female,2020,299,13783,0.299,50,0.002,15475,0.088,0.324,0.303,0.284,1368,5016,4696,4395,
Chemistry,Level 1,Female,2021,295,14376,0.315,110,0.004,15859,0.085,0.357,0.291,0.267,1346,5656,4622,4235,
Chemistry,Level 1,Female,2022,282,13813,0.297,42,0.002,14903,0.104,0.369,0.299,0.228,1553,5496,4459,3395,
Chemistry,Level 1,Female,2023,270,13772,0.298,46,0.002,14882,0.099,0.385,0.287,0.229,1475,5724,4271,3412,
Chemistry,Level 1,Male,2015,289,15133,0.404,191,0.006,18272,0.156,0.423,0.254,0.167,2845,7735,4646,3046,
Chemistry,Level 1,Male,2016,300,15403,0.417,179,0.006,18419,0.149,0.402,0.273,0.176,2747,7404,5022,3246,
Chemistry,Level 1,Male,2017,306,15424,0.432,167,0.006,18227,0.149,0.412,0.255,0.184,2723,7509,4644,3351,
Chemistry,Level 1,Male,2018,295,15166,0.429,52,0.002,17612,0.162,0.409,0.264,0.166,2848,7196,4641,2927,
Chemistry,Level 1,Male,2019,298,14581,0.343,39,0.001,16365,0.148,0.421,0.264,0.167,2417,6890,4320,2738,
Chemistry,Level 1,Male,2020,286,13583,0.278,62,0.002,15265,0.129,0.424,0.278,0.169,1966,6477,4243,2579,
Chemistry,Level 1,Male,2021,284,13806,0.286,78,0.003,15280,0.127,0.448,0.263,0.162,1941,6848,4011,2480,
Chemistry,Level 1,Male,2022,279,14004,0.289,51,0.002,15161,0.143,0.467,0.244,0.147,2165,7078,3692,2226,
Chemistry,Level 1,Male,2023,263,14190,0.293,60,0.002,15325,0.141,0.468,0.25,0.141,2166,7167,3826,2166,
Chemistry,Level 2,Female,2015,340,10299,0.294,7400,0.285,42187,0.164,0.258,0.242,0.335,6935,10904,10229,14119,
Chemistry,Level 2,Female,2016,342,10659,0.294,7630,0.283,42879,0.149,0.248,0.242,0.361,6388,10628,10388,15475,
Chemistry,Level 2,Female,2017,338,11181,0.309,7810,0.293,43960,0.148,0.241,0.235,0.376,6504,10600,10334,16522,
Chemistry,Level 2,Female,2018,332,11044,0.309,7219,0.277,41424,0.139,0.246,0.234,0.382,5763,10174,9673,15814,
Chemistry,Level 2,Female,2019,337,10436,0.291,6831,0.267,38787,0.143,0.235,0.234,0.388,5557,9114,9075,15041,
Chemistry,Level 2,Female,2020,339,9420,0.266,5406,0.213,32610,0.155,0.275,0.247,0.323,5040,8981,8058,10531,
Chemistry,Level 2,Female,2021,330,9481,0.273,5703,0.234,33396,0.12,0.292,0.243,0.345,4003,9761,8100,11532,
Chemistry,Level 2,Female,2022,333,8811,0.262,5219,0.22,30719,0.154,0.295,0.235,0.316,4721,9072,7231,9695,
