"Year Level","Qualification","Ethnicity","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","University Entrance","Asian","2020","0","0","0","3","2","8174",""
"11","University Entrance","Asian","2021","0","0","0","4","2","8143",""
"11","University Entrance","Asian","2022","0","0","0","1","1","9004",""
"11","University Entrance","Asian","2023","0","0","0","1","0","10898",""
"11","University Entrance","Asian","2024","0","0","0","1","1","12594",""
"11","University Entrance","Middle Eastern/Latin American/African","2015","0","0.001","0.001","1","1","1065",""
"11","University Entrance","Middle Eastern/Latin American/African","2016","0","0","0","0","0","1147",""
"11","University Entrance","Middle Eastern/Latin American/African","2017","0","0","0","0","0","1091",""
"11","University Entrance","Middle Eastern/Latin American/African","2018","0","0.001","0.001","1","1","1134",""
"11","University Entrance","Middle Eastern/Latin American/African","2019","0","0","0","0","0","1274",""
"11","University Entrance","Middle Eastern/Latin American/African","2020","0","0","0","0","0","1357",""
"11","University Entrance","Middle Eastern/Latin American/African","2021","0","0","0","0","0","1384",""
"11","University Entrance","Middle Eastern/Latin American/African","2022","0","0","0","0","0","1497",""
"11","University Entrance","Middle Eastern/Latin American/African","2023","0","0","0","0","0","1620",""
"11","University Entrance","Middle Eastern/Latin American/African","2024","0","0","0","0","0","1790",""
"11","University Entrance","European","2015","0","0","0","3","3","38358",""
"11","University Entrance","European","2016","0","0","0","4","4","38515",""
"11","University Entrance","European","2017","0","0","0","4","4","37821",""
"11","University Entrance","European","2018","0","0","0","1","1","37571",""
"11","University Entrance","European","2019","0","0","0","13","13","38879",""
"11","University Entrance","European","2020","0","0","0","11","10","38517",""
"11","University Entrance","European","2021","0","0","0","6","3","39509",""
"11","University Entrance","European","2022","0","0","0","5","4","41473",""
"11","University Entrance","European","2023","0","0","0","6","6","42949",""
"11","University Entrance","European","2024","0","0","0","1","1","43071",""
"12","NCEA Level 2","Maori","2015","1","0.673","0.646","8004","7680","11895",""
"12","NCEA Level 2","Maori","2016","1","0.709","0.676","8912","8499","12567",""
"12","NCEA Level 2","Maori","2017","1","0.707","0.674","9134","8699","12916",""
"12","NCEA Level 2","Maori","2018","1","0.686","0.649","8358","7912","12183",""
"12","NCEA Level 2","Maori","2019","1","0.689","0.658","8300","7925","12044",""
"12","NCEA Level 2","Maori","2020","1","0.719","0.685","8955","8537","12457",""
"12","NCEA Level 2","Maori","2021","1","0.683","0.64","8847","8296","12953",""
"12","NCEA Level 2","Maori","2022","1","0.641","0.596","8536","7930","13312",""
"12","NCEA Level 2","Maori","2023","1","0.646","0.603","8793","8205","13607",""
"12","NCEA Level 2","Maori","2024","1","0.654","0.609","9373","8723","14324",""
"12","NCEA Level 2","Pacific Peoples","2015","1","0.701","0.691","4473","4410","6383",""
"12","NCEA Level 2","Pacific Peoples","2016","1","0.733","0.723","4896","4834","6683",""
"12","NCEA Level 2","Pacific Peoples","2017","1","0.739","0.726","5093","5006","6894",""
"12","NCEA Level 2","Pacific Peoples","2018","1","0.721","0.71","4958","4881","6874",""
"12","NCEA Level 2","Pacific Peoples","2019","1","0.713","0.702","4830","4754","6770",""
"12","NCEA Level 2","Pacific Peoples","2020","1","0.771","0.761","5362","5292","6954",""
"12","NCEA Level 2","Pacific Peoples","2021","1","0.715","0.698","5102","4983","7137",""
"12","NCEA Level 2","Pacific Peoples","2022","1","0.673","0.656","4907","4785","7296",""
"12","NCEA Level 2","Pacific Peoples","2023","1","0.65","0.637","4914","4813","7559",""
"12","NCEA Level 2","Pacific Peoples","2024","1","0.658","0.644","5407","5290","8212",""
"12","NCEA Level 2","Asian","2015","1","0.743","0.726","4791","4683","6449",""
"12","NCEA Level 2","Asian","2016","1","0.769","0.749","5319","5181","6921",""
"12","NCEA Level 2","Asian","2017","1","0.776","0.757","5498","5363","7086",""
"12","NCEA Level 2","Asian","2018","1","0.773","0.752","5296","5147","6847",""
"12","NCEA Level 2","Asian","2019","1","0.783","0.762","5912","5753","7553",""
"12","NCEA Level 2","Asian","2020","1","0.8","0.782","6173","6035","7721",""
"12","NCEA Level 2","Asian","2021","1","0.811","0.787","6640","6444","8191",""
