"Subject","Ethnicity","Academic Year","Outstanding Scholarship Rate","Scholarship Rate","No Award Rate","Outstanding Scholarship Count","Scholarship Count","No Award Count","Total Assessed Result Count","Total Student Count","Cohort Warning"
"History","Pacific Peoples","2022","0","0.125","0.875","0","2","14","16","45",""
"History","Pacific Peoples","2023","0","0.111","0.889","0","2","16","18","37",""
"History","Pacific Peoples","2024","0","0","1","0","0","20","20","37",""
"History","Asian","2015","0.048","0.298","0.653","6","37","81","124","157",""
"History","Asian","2016","0.026","0.261","0.713","3","30","82","115","163",""
"History","Asian","2017","0.026","0.192","0.782","4","30","122","156","185",""
"History","Asian","2018","0.033","0.235","0.732","5","36","112","153","198",""
"History","Asian","2019","0.04","0.208","0.752","6","31","112","149","192",""
"History","Asian","2020","0.022","0.181","0.797","4","33","145","182","253",""
"History","Asian","2021","0.026","0.253","0.721","4","39","111","154","248",""
"History","Asian","2022","0.028","0.176","0.795","5","31","140","176","239",""
"History","Asian","2023","0.032","0.176","0.793","6","33","149","188","288",""
"History","Asian","2024","0.024","0.297","0.679","5","63","144","212","316",""
"History","Middle Eastern/Latin American/African","2015","0","0.25","0.75","0","4","12","16","22","Small Cohort"
"History","Middle Eastern/Latin American/African","2016","0","0.286","0.714","0","2","5","7","14","Small Cohort"
"History","Middle Eastern/Latin American/African","2017","0","0.2","0.8","0","2","8","10","12","Small Cohort"
"History","Middle Eastern/Latin American/African","2018","0","0.059","0.941","0","1","16","17","22","Small Cohort"
"History","Middle Eastern/Latin American/African","2019","0","0.1","0.9","0","1","9","10","12","Small Cohort"
"History","Middle Eastern/Latin American/African","2020","0","0.059","0.941","0","1","16","17","29","Small Cohort"
"History","Middle Eastern/Latin American/African","2021","0","0.091","0.909","0","1","10","11","26","Small Cohort"
"History","Middle Eastern/Latin American/African","2022","0","0.167","0.833","0","1","5","6","17","Small Cohort"
"History","Middle Eastern/Latin American/African","2023","0","0.211","0.789","0","4","15","19","37",""
"History","Middle Eastern/Latin American/African","2024","0","0.176","0.824","0","3","14","17","29","Small Cohort"
"Japanese","Maori","2015","","","","","","","","3","Small Cohort"
"Japanese","Maori","2016","","","","","","","","1","Small Cohort"
"Japanese","Maori","2017","","","","","","","","4","Small Cohort"
"Japanese","Maori","2018","","","","","","","","2","Small Cohort"
"Japanese","Maori","2019","","","","","","","","1","Small Cohort"
"Japanese","Maori","2020","0","0","1","0","0","3","3","6","Small Cohort"
"Japanese","Maori","2021","","","","","","","","4","Small Cohort"
"Japanese","Maori","2022","","","","","","","","1","Small Cohort"
"Japanese","Maori","2023","","","","","","","","4","Small Cohort"
"Japanese","Maori","2024","","","","","","","","3","Small Cohort"
"Japanese","European","2015","0.036","0.107","0.857","1","3","24","28","35",""
"Japanese","European","2016","0","0.118","0.882","0","2","15","17","18","Small Cohort"
"Japanese","European","2017","0","0.036","0.964","0","1","27","28","34",""
"Japanese","European","2018","0","0.212","0.788","0","7","26","33","37",""
"Japanese","European","2019","0.04","0.04","0.92","1","1","23","25","29","Small Cohort"
"Japanese","European","2020","0","0.139","0.861","0","5","31","36","52",""
"Japanese","European","2021","0.029","0.143","0.829","1","5","29","35","47",""
"Japanese","European","2022","0.029","0.088","0.882","1","3","30","34","47",""
"Japanese","European","2023","0","0.053","0.947","0","1","18","19","31",""
"Japanese","European","2024","0.045","0.045","0.909","1","1","20","22","41",""
"Japanese","Pacific Peoples","2015","","","","","","","","2","Small Cohort"
"Japanese","Pacific Peoples","2017","","","","","","","","2","Small Cohort"
"Japanese","Pacific Peoples","2018","","","","","","","","1","Small Cohort"
"Japanese","Pacific Peoples","2019","","","","","","","","1","Small Cohort"
"Japanese","Pacific Peoples","2020","","","","","","","","4","Small Cohort"
"Japanese","Pacific Peoples","2021","","","","","","","","2","Small Cohort"
"Japanese","Pacific Peoples","2022","","","","","","","","1","Small Cohort"
"Japanese","Pacific Peoples","2023","0","0","1","0","0","2","2","5","Small Cohort"
"Japanese","Pacific Peoples","2024","","","","","","","","2","Small Cohort"
"Japanese","Asian","2015","0.014","0.167","0.819","1","12","59","72","85",""
"Japanese","Asian","2016","0.018","0.211","0.772","1","12","44","57","63",""
"Japanese","Asian","2017","0.022","0.146","0.831","2","13","74","89","100",""
"Japanese","Asian","2018","0.022","0.14","0.839","2","13","78","93","103",""
"Japanese","Asian","2019","0.023","0.126","0.851","2","11","74","87","101",""
"Japanese","Asian","2020","0.018","0.127","0.855","2","14","94","110","136",""
"Japanese","Asian","2021","0.025","0.16","0.815","2","13","66","81","133",""
"Japanese","Asian","2022","0.025","0.15","0.825","2","12","66","80","113",""
"Japanese","Asian","2023","0.026","0.218","0.756","2","17","59","78","111",""
"Japanese","Asian","2024","0.042","0.211","0.746","3","15","53","71","101",""
"Japanese","Middle Eastern/Latin American/African","2017","","","","","","","","1","Small Cohort"
"Japanese","Middle Eastern/Latin American/African","2018","","","","","","","","1","Small Cohort"
"Japanese","Middle Eastern/Latin American/African","2019","","","","","","","","2","Small Cohort"
"Japanese","Middle Eastern/Latin American/African","2020","","","","","","","","3","Small Cohort"
"Japanese","Middle Eastern/Latin American/African","2021","","","","","","","","3","Small Cohort"
"Japanese","Middle Eastern/Latin American/African","2022","","","","","","","","2","Small Cohort"
"Japanese","Middle Eastern/Latin American/African","2023","","","","","","","","1","Small Cohort"
"Japanese","Middle Eastern/Latin American/African","2024","","","","","","","","3","Small Cohort"
"Latin","Maori","2015","","","","","","","","1","Small Cohort"
"Latin","Maori","2016","","","","","","","","1","Small Cohort"
"Latin","Maori","2018","","","","","","","","4","Small Cohort"
"Latin","Maori","2020","","","","","","","","1","Small Cohort"
"Latin","Maori","2021","","","","","","","","1","Small Cohort"
"Latin","European","2015","0.056","0.111","0.833","1","2","15","18","19","Small Cohort"
"Latin","European","2016","0.071","0.214","0.714","1","3","10","14","14","Small Cohort"
"Latin","European","2017","0.118","0.059","0.824","2","1","14","17","17","Small Cohort"
"Latin","European","2018","0.037","0.037","0.926","1","1","25","27","29","Small Cohort"
"Latin","European","2019","0","0","1","0","0","23","23","26","Small Cohort"
"Latin","European","2020","0.05","0.1","0.85","1","2","17","20","27","Small Cohort"
"Latin","European","2021","0.045","0.045","0.909","1","1","20","22","26","Small Cohort"
"Latin","European","2022","0.083","0.083","0.833","1","1","10","12","17","Small Cohort"
"Latin","European","2023","0.091","0.182","0.727","1","2","8","11","15","Small Cohort"
"Latin","European","2024","0","0.222","0.778","0","2","7","9","13","Small Cohort"
"Latin","Pacific Peoples","2015","","","","","","","","1","Small Cohort"
"Latin","Pacific Peoples","2016","","","","","","","","1","Small Cohort"
"Latin","Pacific Peoples","2019","","","","","","","","1","Small Cohort"
"Latin","Pacific Peoples","2021","","","","","","","","1","Small Cohort"
"Latin","Pacific Peoples","2022","","","","","","","","1","Small Cohort"
"Latin","Pacific Peoples","2024","","","","","","","","1","Small Cohort"
"Latin","Asian","2015","0","0.143","0.857","0","1","6","7","7","Small Cohort"
"Latin","Asian","2016","","","","","","","","4","Small Cohort"
"Latin","Asian","2017","0","0.4","0.6","0","2","3","5","5","Small Cohort"
"Latin","Asian","2018","0","0.053","0.947","0","1","18","19","19","Small Cohort"
"Latin","Asian","2019","0.048","0.143","0.81","1","3","17","21","23","Small Cohort"
"Latin","Asian","2020","0","0.071","0.929","0","1","13","14","17","Small Cohort"
"Latin","Asian","2021","0","0.071","0.929","0","1","13","14","17","Small Cohort"
"Latin","Asian","2022","0.143","0.286","0.571","1","2","4","7","13","Small Cohort"
"Latin","Asian","2023","0","0.077","0.923","0","1","12","13","15","Small Cohort"
"Latin","Asian","2024","0.091","0.182","0.727","1","2","8","11","18","Small Cohort"
"Latin","Middle Eastern/Latin American/African","2015","","","","","","","","1","Small Cohort"
"Latin","Middle Eastern/Latin American/African","2016","","","","","","","","1","Small Cohort"
"Latin","Middle Eastern/Latin American/African","2021","","","","","","","","1","Small Cohort"
"Latin","Middle Eastern/Latin American/African","2022","","","","","","","","1","Small Cohort"
"Latin","Middle Eastern/Latin American/African","2024","","","","","","","","1","Small Cohort"
"Media Studies","Maori","2015","0","0.226","0.774","0","7","24","31","49",""
"Media Studies","Maori","2016","0","0.091","0.909","0","2","20","22","41",""
"Media Studies","Maori","2017","0","0.037","0.963","0","1","26","27","40",""
"Media Studies","Maori","2018","0","0.263","0.737","0","5","14","19","29","Small Cohort"
"Media Studies","Maori","2019","0","0.176","0.824","0","3","14","17","32",""
"Media Studies","Maori","2020","0","0.182","0.818","0","2","9","11","37",""
"Media Studies","Maori","2021","0","0.278","0.722","0","5","13","18","32",""
"Media Studies","Maori","2022","0.111","0.278","0.611","2","5","11","18","45",""
"Media Studies","Maori","2023","0.063","0.375","0.563","1","6","9","16","41",""
"Media Studies","Maori","2024","0","0.154","0.846","0","4","22","26","49",""
"Media Studies","European","2015","0.013","0.203","0.784","4","65","251","320","452",""
"Media Studies","European","2016","0.013","0.248","0.739","3","59","176","238","371",""
"Media Studies","European","2017","0.023","0.215","0.762","6","57","202","265","397",""
"Media Studies","European","2018","0.025","0.274","0.701","5","54","138","197","275",""
"Media Studies","European","2019","0.029","0.248","0.723","6","51","149","206","331",""
"Media Studies","European","2020","0.027","0.275","0.698","5","50","127","182","331",""
"Media Studies","European","2021","0.025","0.266","0.709","4","42","112","158","310",""
"Media Studies","European","2022","0.031","0.286","0.683","5","46","110","161","329",""
"Media Studies","European","2023","0.037","0.346","0.617","6","56","100","162","337",""
"Media Studies","European","2024","0.041","0.313","0.646","8","61","126","195","336",""
"Media Studies","Pacific Peoples","2015","0","0.143","0.857","0","2","12","14","20","Small Cohort"
"Media Studies","Pacific Peoples","2016","0","0","1","0","0","7","7","15","Small Cohort"
"Media Studies","Pacific Peoples","2017","0.056","0.222","0.722","1","4","13","18","25","Small Cohort"
"Media Studies","Pacific Peoples","2018","0","0.154","0.846","0","2","11","13","18","Small Cohort"
"Media Studies","Pacific Peoples","2019","0","0","1","0","0","8","8","16","Small Cohort"
"Media Studies","Pacific Peoples","2020","0","0.167","0.833","0","1","5","6","16","Small Cohort"
"Media Studies","Pacific Peoples","2021","0","0","1","0","0","4","4","12","Small Cohort"
"Media Studies","Pacific Peoples","2022","0","0.222","0.778","0","2","7","9","21","Small Cohort"
"Media Studies","Pacific Peoples","2023","0","0.333","0.667","0","4","8","12","24","Small Cohort"
"Media Studies","Pacific Peoples","2024","0","0.214","0.786","0","3","11","14","30",""
"Media Studies","Asian","2015","0.045","0.218","0.736","5","24","81","110","152",""
"Media Studies","Asian","2016","0.069","0.276","0.655","6","24","57","87","123",""
"Media Studies","Asian","2017","0.021","0.2","0.779","2","19","74","95","138",""
"Media Studies","Asian","2018","0.051","0.254","0.695","3","15","41","59","88",""
"Media Studies","Asian","2019","0.017","0.293","0.69","1","17","40","58","82",""
"Media Studies","Asian","2020","0.037","0.315","0.648","2","17","35","54","86",""
"Media Studies","Asian","2021","0.056","0.319","0.625","4","23","45","72","127",""
"Media Studies","Asian","2022","0.017","0.39","0.593","1","23","35","59","121",""
"Media Studies","Asian","2023","0.066","0.361","0.574","4","22","35","61","117",""
"Media Studies","Asian","2024","0.041","0.329","0.63","3","24","46","73","133",""
"Media Studies","Middle Eastern/Latin American/African","2015","0","0","1","0","0","4","4","6","Small Cohort"
"Media Studies","Middle Eastern/Latin American/African","2016","0","0.25","0.75","0","1","3","4","6","Small Cohort"
"Media Studies","Middle Eastern/Latin American/African","2017","0","0","1","0","0","4","4","7","Small Cohort"
"Media Studies","Middle Eastern/Latin American/African","2018","0","0.5","0.5","0","3","3","6","10","Small Cohort"
"Media Studies","Middle Eastern/Latin American/African","2019","0","0.429","0.571","0","3","4","7","7","Small Cohort"
"Media Studies","Middle Eastern/Latin American/African","2020","0","0.333","0.667","0","4","8","12","17","Small Cohort"
"Media Studies","Middle Eastern/Latin American/African","2021","0","0.25","0.75","0","1","3","4","12","Small Cohort"
"Media Studies","Middle Eastern/Latin American/African","2022","0","0","1","0","0","2","2","11","Small Cohort"
"Media Studies","Middle Eastern/Latin American/African","2023","0","0.167","0.833","0","1","5","6","12","Small Cohort"
"Media Studies","Middle Eastern/Latin American/African","2024","0","0.091","0.909","0","1","10","11","21","Small Cohort"
"Music","Maori","2015","0","0.5","0.5","0","2","2","4","6","Small Cohort"
"Music","Maori","2016","0","0.333","0.667","0","2","4","6","11","Small Cohort"
"Music","Maori","2017","0.182","0.182","0.636","2","2","7","11","14","Small Cohort"
"Music","Maori","2018","0","0.5","0.5","0","3","3","6","7","Small Cohort"
"Music","Maori","2019","0","0.211","0.789","0","4","15","19","26","Small Cohort"
"Music","Maori","2020","0.043","0.174","0.783","1","4","18","23","38",""
"Music","Maori","2021","0.043","0.087","0.87","1","2","20","23","38",""
"Music","Maori","2022","0.067","0.133","0.8","1","2","12","15","29","Small Cohort"
"Music","Maori","2023","0.077","0.231","0.692","1","3","9","13","29","Small Cohort"
"Music","Maori","2024","0","0.143","0.857","0","2","12","14","26","Small Cohort"
"Music","European","2015","0.034","0.276","0.69","3","24","60","87","113",""
"Music","European","2016","0.011","0.295","0.693","1","26","61","88","120",""
"Music","European","2017","0.033","0.242","0.725","3","22","66","91","130",""
"Music","European","2018","0.025","0.278","0.696","2","22","55","79","105",""
"Music","European","2019","0.011","0.126","0.863","2","22","151","175","240",""
"Music","European","2020","0.021","0.118","0.861","4","22","161","187","279",""
"Music","European","2021","0.023","0.177","0.8","4","31","140","175","277",""
"Music","European","2022","0.013","0.118","0.868","2","18","132","152","253",""
"Music","European","2023","0.031","0.173","0.795","4","22","101","127","203",""
"Music","European","2024","0.014","0.191","0.794","2","27","112","141","237",""
"Music","Pacific Peoples","2015","0","0","0","0","0","0","0","5","Small Cohort"
"Music","Pacific Peoples","2016","0","0","1","0","0","5","5","7","Small Cohort"
"Music","Pacific Peoples","2017","0","0.167","0.833","0","1","5","6","10","Small Cohort"
"Music","Pacific Peoples","2018","","","","","","","","4","Small Cohort"
"Music","Pacific Peoples","2019","0.091","0.273","0.636","1","3","7","11","22","Small Cohort"
"Music","Pacific Peoples","2020","0.111","0.111","0.778","1","1","7","9","13","Small Cohort"
"Music","Pacific Peoples","2021","0","0.333","0.667","0","4","8","12","29","Small Cohort"
"Music","Pacific Peoples","2022","0","0.25","0.75","0","2","6","8","21","Small Cohort"
"Music","Pacific Peoples","2023","0","0.2","0.8","0","2","8","10","18","Small Cohort"
"Music","Pacific Peoples","2024","0","0.154","0.846","0","2","11","13","24","Small Cohort"
"Music","Asian","2015","0.034","0.345","0.621","2","20","36","58","68",""
"Music","Asian","2016","0.098","0.39","0.512","4","16","21","41","58",""
"Music","Asian","2017","0.032","0.29","0.677","2","18","42","62","76",""
"Music","Asian","2018","0.057","0.321","0.623","3","17","33","53","63",""
"Music","Asian","2019","0.017","0.226","0.757","2","26","87","115","156",""
"Music","Asian","2020","0","0.186","0.814","0","22","96","118","163",""
"Music","Asian","2021","0.022","0.174","0.804","2","16","74","92","134",""
"Music","Asian","2022","0.01","0.204","0.786","1","20","77","98","150",""
"Music","Asian","2023","0.01","0.2","0.79","1","21","83","105","149",""
"Music","Asian","2024","0.027","0.219","0.753","4","32","110","146","198",""
"Music","Middle Eastern/Latin American/African","2015","","","","","","","","3","Small Cohort"
"Music","Middle Eastern/Latin American/African","2016","","","","","","","","1","Small Cohort"
"Music","Middle Eastern/Latin American/African","2018","","","","","","","","2","Small Cohort"
"Music","Middle Eastern/Latin American/African","2019","","","","","","","","4","Small Cohort"
"Music","Middle Eastern/Latin American/African","2020","0","0.333","0.667","0","2","4","6","8","Small Cohort"
"Music","Middle Eastern/Latin American/African","2021","0","0","1","0","0","5","5","8","Small Cohort"
"Music","Middle Eastern/Latin American/African","2022","","","","","","","","4","Small Cohort"
"Music","Middle Eastern/Latin American/African","2023","0","0","1","0","0","4","4","8","Small Cohort"
"Music","Middle Eastern/Latin American/African","2024","0","0","1","0","0","5","5","6","Small Cohort"
"Painting","Maori","2015","0.032","0.161","0.806","1","5","25","31","61",""
"Painting","Maori","2016","0.03","0.182","0.788","1","6","26","33","56",""
"Painting","Maori","2017","0.031","0.281","0.688","1","9","22","32","68",""
"Painting","Maori","2018","0","0.278","0.722","0","5","13","18","45",""
"Painting","Maori","2019","0","0.222","0.778","0","4","14","18","43",""
"Painting","Maori","2020","0","0.25","0.75","0","6","18","24","54",""
"Painting","Maori","2021","0","0.292","0.708","0","7","17","24","56",""
"Painting","Maori","2022","0.043","0.391","0.565","1","9","13","23","64",""
"Painting","Maori","2023","0","0.185","0.815","0","5","22","27","53",""
"Painting","Maori","2024","0.045","0.227","0.727","1","5","16","22","57",""
"Painting","European","2015","0.027","0.231","0.742","7","60","193","260","445",""
"Painting","European","2016","0.03","0.232","0.738","8","62","197","267","441",""
"Painting","European","2017","0.024","0.239","0.737","6","59","182","247","369",""
"Painting","European","2018","0.034","0.211","0.754","8","49","175","232","365",""
"Painting","European","2019","0.042","0.256","0.702","9","55","151","215","401",""
"Painting","European","2020","0.03","0.241","0.73","7","57","173","237","438",""
"Painting","European","2021","0.035","0.268","0.697","8","62","161","231","421",""
"Painting","European","2022","0.026","0.287","0.687","6","66","158","230","439",""
"Painting","European","2023","0.026","0.241","0.733","6","56","170","232","417",""
"Painting","European","2024","0.021","0.25","0.729","5","60","175","240","442",""
"Painting","Pacific Peoples","2015","0","0","1","0","0","6","6","18","Small Cohort"
"Painting","Pacific Peoples","2016","0","0.111","0.889","0","1","8","9","18","Small Cohort"
"Painting","Pacific Peoples","2017","0","0.333","0.667","0","3","6","9","23","Small Cohort"
"Painting","Pacific Peoples","2018","0","0","1","0","0","8","8","18","Small Cohort"
"Painting","Pacific Peoples","2019","0","0.286","0.714","0","2","5","7","16","Small Cohort"
"Painting","Pacific Peoples","2020","0","0.222","0.778","0","2","7","9","21","Small Cohort"
"Painting","Pacific Peoples","2021","0","0","1","0","0","6","6","31",""
"Painting","Pacific Peoples","2022","0","0.5","0.5","0","3","3","6","26","Small Cohort"
"Painting","Pacific Peoples","2023","0.1","0.3","0.6","1","3","6","10","22","Small Cohort"
"Painting","Pacific Peoples","2024","0","0.125","0.875","0","1","7","8","26","Small Cohort"
"Painting","Asian","2015","0.013","0.304","0.684","1","24","54","79","129",""
"Painting","Asian","2016","0","0.247","0.753","0","18","55","73","113",""
"Painting","Asian","2017","0.023","0.17","0.807","2","15","71","88","127",""
"Painting","Asian","2018","0.012","0.305","0.683","1","25","56","82","118",""
"Painting","Asian","2019","0","0.284","0.716","0","19","48","67","123",""
"Painting","Asian","2020","0.041","0.247","0.712","3","18","52","73","109",""
"Painting","Asian","2021","0.036","0.277","0.687","3","23","57","83","170",""
"Painting","Asian","2022","0.04","0.267","0.693","3","20","52","75","152",""
"Painting","Asian","2023","0.039","0.324","0.637","4","33","65","102","190",""
"Painting","Asian","2024","0.047","0.291","0.663","4","25","57","86","169",""
"Painting","Middle Eastern/Latin American/African","2015","0","0.571","0.429","0","4","3","7","9","Small Cohort"
"Painting","Middle Eastern/Latin American/African","2016","0","0.5","0.5","0","4","4","8","12","Small Cohort"
"Painting","Middle Eastern/Latin American/African","2017","0","0","1","0","0","5","5","9","Small Cohort"
"Painting","Middle Eastern/Latin American/African","2018","0","0","1","0","0","7","7","15","Small Cohort"
"Painting","Middle Eastern/Latin American/African","2019","0","0.5","0.5","0","1","1","2","7","Small Cohort"
"Painting","Middle Eastern/Latin American/African","2020","0","0.2","0.8","0","2","8","10","16","Small Cohort"
"Painting","Middle Eastern/Latin American/African","2021","0","0","1","0","0","3","3","13","Small Cohort"
"Painting","Middle Eastern/Latin American/African","2022","0","0.167","0.833","0","1","5","6","13","Small Cohort"
"Painting","Middle Eastern/Latin American/African","2023","0","0.222","0.778","0","2","7","9","15","Small Cohort"
"Painting","Middle Eastern/Latin American/African","2024","0","0","1","0","0","7","7","16","Small Cohort"
"Photography","Maori","2015","0.03","0.212","0.758","1","7","25","33","52",""
"Photography","Maori","2016","0","0.133","0.867","0","4","26","30","58",""
"Photography","Maori","2017","0","0.321","0.679","0","9","19","28","49",""
"Photography","Maori","2018","0.04","0.52","0.44","1","13","11","25","42",""
"Photography","Maori","2019","0.071","0.429","0.5","1","6","7","14","41",""
"Photography","Maori","2020","0.2","0.3","0.5","2","3","5","10","33",""
"Photography","Maori","2021","0.069","0.207","0.724","2","6","21","29","51",""
"Photography","Maori","2022","0.1","0.4","0.5","2","8","10","20","40",""
"Photography","Maori","2023","0","0.4","0.6","0","6","9","15","42",""
"Photography","Maori","2024","0.05","0.45","0.5","1","9","10","20","53",""
"Photography","European","2015","0.025","0.277","0.698","6","67","169","242","393",""
"Photography","European","2016","0.035","0.273","0.693","8","63","160","231","381",""
"Photography","European","2017","0.034","0.309","0.657","7","64","136","207","338",""
"Photography","European","2018","0.032","0.309","0.66","6","58","124","188","328",""
"Photography","European","2019","0.042","0.38","0.578","7","63","96","166","305",""
"Photography","European","2020","0.029","0.316","0.655","5","54","112","171","347",""
"Photography","European","2021","0.04","0.328","0.633","7","58","112","177","395",""
"Photography","European","2022","0.038","0.38","0.582","6","60","92","158","316",""
"Photography","European","2023","0.039","0.316","0.646","8","65","133","206","360",""
"Photography","European","2024","0.048","0.364","0.588","8","60","97","165","359",""
"Photography","Pacific Peoples","2015","0.083","0.583","0.333","1","7","4","12","23","Small Cohort"
"Photography","Pacific Peoples","2016","0","0.455","0.545","0","5","6","11","22","Small Cohort"
"Photography","Pacific Peoples","2017","0","0.429","0.571","0","3","4","7","15","Small Cohort"
"Photography","Pacific Peoples","2018","0.077","0.538","0.385","1","7","5","13","26","Small Cohort"
"Photography","Pacific Peoples","2019","0","0.75","0.25","0","6","2","8","24","Small Cohort"
"Photography","Pacific Peoples","2020","0.357","0.286","0.357","5","4","5","14","25","Small Cohort"
"Photography","Pacific Peoples","2021","0","0.375","0.625","0","3","5","8","30",""
"Photography","Pacific Peoples","2022","0.111","0.667","0.222","1","6","2","9","25","Small Cohort"
"Photography","Pacific Peoples","2023","0","0.357","0.643","0","5","9","14","29","Small Cohort"
"Photography","Pacific Peoples","2024","0.25","0.375","0.375","2","3","3","8","61",""
"Photography","Asian","2015","0.029","0.265","0.706","1","9","24","34","55",""
"Photography","Asian","2016","0.024","0.366","0.61","1","15","25","41","58",""
"Photography","Asian","2017","0.052","0.397","0.552","3","23","32","58","85",""
"Photography","Asian","2018","0.022","0.478","0.5","1","22","23","46","78",""
"Photography","Asian","2019","0.03","0.455","0.515","1","15","17","33","61",""
"Photography","Asian","2020","0","0.455","0.545","0","20","24","44","89",""
"Photography","Asian","2021","0","0.321","0.679","0","18","38","56","96",""
"Photography","Asian","2022","0.043","0.298","0.66","2","14","31","47","105",""
"Photography","Asian","2023","0","0.413","0.587","0","19","27","46","81",""
"Photography","Asian","2024","0.038","0.481","0.481","2","25","25","52","109",""
"Photography","Middle Eastern/Latin American/African","2015","","","","","","","","4","Small Cohort"
"Photography","Middle Eastern/Latin American/African","2016","0","0.25","0.75","0","1","3","4","11","Small Cohort"
"Photography","Middle Eastern/Latin American/African","2017","0","0","1","0","0","6","6","9","Small Cohort"
"Photography","Middle Eastern/Latin American/African","2018","0.25","0.25","0.5","1","1","2","4","7","Small Cohort"
"Photography","Middle Eastern/Latin American/African","2019","0","0","1","0","0","1","1","7","Small Cohort"
"Photography","Middle Eastern/Latin American/African","2020","0","1","0","0","2","0","2","11","Small Cohort"
"Photography","Middle Eastern/Latin American/African","2021","0","0.5","0.5","0","2","2","4","13","Small Cohort"
"Photography","Middle Eastern/Latin American/African","2022","0","0.667","0.333","0","2","1","3","9","Small Cohort"
"Photography","Middle Eastern/Latin American/African","2023","0.167","0.167","0.667","1","1","4","6","10","Small Cohort"
"Photography","Middle Eastern/Latin American/African","2024","0.333","0.333","0.333","1","1","1","3","13","Small Cohort"
"Physical Education","Maori","2015","0.029","0.371","0.6","1","13","21","35","60",""
"Physical Education","Maori","2016","0","0.25","0.75","0","14","42","56","93",""
"Physical Education","Maori","2017","0.059","0.137","0.804","3","7","41","51","90",""
"Physical Education","European","2015","0.034","0.244","0.722","12","86","254","352","592",""
"Physical Education","European","2016","0.032","0.23","0.738","12","86","276","374","610",""
"Physical Education","European","2017","0.033","0.27","0.697","13","107","276","396","610",""
"Physical Education","Pacific Peoples","2015","0","0.125","0.875","0","2","14","16","32",""
"Physical Education","Pacific Peoples","2016","0","0.172","0.828","0","5","24","29","43",""
"Physical Education","Pacific Peoples","2017","0.071","0.286","0.643","1","4","9","14","33",""
"Physical Education","Asian","2015","0.043","0.283","0.674","2","13","31","46","94",""
"Physical Education","Asian","2016","0.046","0.4","0.554","3","26","36","65","107",""
"Physical Education","Asian","2017","0.063","0.35","0.588","5","28","47","80","138",""
"Physical Education","Middle Eastern/Latin American/African","2015","0","0.273","0.727","0","3","8","11","19","Small Cohort"
"Physical Education","Middle Eastern/Latin American/African","2016","0","0.167","0.833","0","1","5","6","14","Small Cohort"
"Physical Education","Middle Eastern/Latin American/African","2017","0","0.429","0.571","0","3","4","7","11","Small Cohort"
"Physics","Maori","2015","0.022","0.152","0.826","1","7","38","46","59",""
"Physics","Maori","2016","0.023","0.159","0.818","1","7","36","44","57",""
"Physics","Maori","2017","0.02","0.143","0.837","1","7","41","49","61",""
"Physics","Maori","2018","0","0.154","0.846","0","6","33","39","52",""
"Physics","Maori","2019","0.042","0.208","0.75","1","5","18","24","47",""
"Physics","Maori","2020","0","0.179","0.821","0","7","32","39","65",""
"Physics","Maori","2021","0.031","0.125","0.844","1","4","27","32","70",""
"Physics","Maori","2022","0","0.258","0.742","0","8","23","31","53",""
"Physics","Maori","2023","0","0.2","0.8","0","5","20","25","48",""
"Physics","Maori","2024","0","0.2","0.8","0","6","24","30","53",""
"Physics","European","2015","0.017","0.174","0.808","12","120","557","689","825",""
"Physics","European","2016","0.02","0.216","0.764","13","140","494","647","766",""
"Physics","European","2017","0.018","0.187","0.795","12","127","540","679","868",""
"Physics","European","2018","0.025","0.219","0.756","14","122","421","557","714",""
"Physics","European","2019","0.019","0.24","0.741","10","126","390","526","739",""
"Physics","European","2020","0.016","0.216","0.769","9","125","446","580","870",""
"Physics","European","2021","0.038","0.221","0.741","20","117","392","529","865",""
"Physics","European","2022","0.025","0.24","0.735","11","107","328","446","761",""
"Physics","European","2023","0.025","0.205","0.77","12","99","371","482","755",""
"Physics","European","2024","0.025","0.25","0.725","12","121","351","484","799",""
"Physics","Pacific Peoples","2015","0","0.182","0.818","0","2","9","11","18","Small Cohort"
"Physics","Pacific Peoples","2016","0","0.091","0.909","0","1","10","11","18","Small Cohort"
"Physics","Pacific Peoples","2017","0","0.214","0.786","0","3","11","14","16","Small Cohort"
"Physics","Pacific Peoples","2018","0","0.167","0.833","0","1","5","6","9","Small Cohort"
"Physics","Pacific Peoples","2019","0","0","1","0","0","11","11","19","Small Cohort"
"Physics","Pacific Peoples","2020","0","0","1","0","0","18","18","35",""
"Physics","Pacific Peoples","2021","0.125","0.25","0.625","1","2","5","8","25","Small Cohort"
"Physics","Pacific Peoples","2022","0","0.286","0.714","0","4","10","14","26","Small Cohort"
"Physics","Pacific Peoples","2023","0.059","0.059","0.882","1","1","15","17","31",""
"Physics","Pacific Peoples","2024","0","0.087","0.913","0","2","21","23","35",""
"Physics","Asian","2015","0.031","0.225","0.745","14","103","341","458","538",""
"Physics","Asian","2016","0.034","0.207","0.76","14","86","316","416","479",""
"Physics","Asian","2017","0.036","0.213","0.751","18","107","378","503","628",""
"Physics","Asian","2018","0.026","0.249","0.725","13","126","367","506","613",""
"Physics","Asian","2019","0.033","0.22","0.747","16","107","363","486","656",""
"Physics","Asian","2020","0.037","0.229","0.735","19","119","382","520","783",""
"Physics","Asian","2021","0.03","0.249","0.721","14","117","338","469","750",""
"Physics","Asian","2022","0.043","0.234","0.723","19","104","321","444","775",""
